Parameter_type,Parameter_value,Alpha_mean_simulated,Alpha_std_simulated,Analytical_x,Alpha_analytical
mu,0.0,1.0105224653589564,0.0153906043595507,0.0,1.0
mu,0.1111111111111111,1.3139450458376225,0.04004700085312143,0.001001001001001001,1.002002002002002
mu,0.2222222222222222,1.645037673681396,0.03388376283933993,0.002002002002002002,1.004004004004004
mu,0.3333333333333333,1.8315042364391334,0.016376811737447188,0.003003003003003003,1.006006006006006
mu,0.4444444444444444,1.937089649474333,0.015311015730126864,0.004004004004004004,1.008008008008008
mu,0.5555555555555556,1.9945477183523046,0.008829448001514304,0.005005005005005005,1.01001001001001
mu,0.6666666666666666,2.0,0.0,0.006006006006006006,1.012012012012012
mu,0.7777777777777777,2.0,0.0,0.007007007007007007,1.014014014014014
mu,0.8888888888888888,2.0,0.0,0.008008008008008008,1.016016016016016
mu,1.0,2.0,0.0,0.009009009009009009,1.018018018018018
gamma,0.0,1.9966097761344492,0.00697080646070209,0.01,2.0
gamma,0.075,1.9904653071900362,0.012225033989126307,0.011491491491491491,2.0
gamma,0.15,1.9777053615173579,0.012639797149404988,0.012982982982982984,2.0
gamma,0.22499999999999998,1.9636453745151752,0.012620619997687975,0.014474474474474475,2.0
gamma,0.3,1.9481212349579295,0.013114374726352407,0.015965965965965966,2.0
gamma,0.375,1.9303381378503706,0.013535710846611808,0.017457457457457456,2.0
gamma,0.44999999999999996,1.9101083158742491,0.014145887047163666,0.018948948948948947,2.0
gamma,0.525,1.8877085315378648,0.013610349964052101,0.020440440440440442,2.0
gamma,0.6,1.8615235450636394,0.013520973871085735,0.021931931931931933,2.0
gamma,0.6749999999999999,1.8315042364391334,0.016376811737447188,0.023423423423423424,2.0
gamma,0.75,1.793283157767775,0.01990120119596784,0.024914914914914918,2.0
gamma,0.825,1.747577535902345,0.024370377229515607,0.02640640640640641,2.0
gamma,0.8999999999999999,1.692513213285076,0.030471182486683412,0.0278978978978979,2.0
gamma,0.975,1.6261553398792146,0.03413376675530334,0.02938938938938939,2.0
gamma,1.05,1.5472195269965021,0.03469773838443814,0.03088088088088088,2.0
gamma,1.125,1.4556679333642273,0.03248788464782526,0.03237237237237237,2.0
gamma,1.2,1.354308441536597,0.025324350095265,0.03386386386386386,2.0
gamma,1.275,1.250905949332425,0.019630291744402725,0.035355355355355354,2.0
gamma,1.3499999999999999,1.1612929508720589,0.023430781126823532,0.036846846846846845,2.0
gamma,1.425,1.1026695903328596,0.02959157456761907,0.03833833833833834,2.0
gamma,1.5,1.0886759060738667,0.027205087432948152,0.039829829829829834,2.0
