Section,Animal_ID,Replay_diffusivity_short_theta_sequences,Replay_diffusivity_long_theta_sequences,Condition,Mean_replay_diffusivity,SEM_replay_diffusivity
Per-animal values,,,,,,
,bon,0.6574021748490723,0.6971057130635471,,,
,fra,0.6811259129935929,0.7068141715692102,,,
,gov,0.7719999926574812,0.8236314686075161,,,
,dud,0.8101476623097343,0.7923041689967698,,,
,con,0.8132385396869944,0.8922998709454834,,,
,dav,0.8158979783449921,0.8270274539578176,,,
,Cor,0.7754670821767807,0.7804346013670537,,,
,egy,0.8053820526959147,0.8101872428273912,,,
,cha,0.6202014419062231,0.654880133660281,,,
Summary statistics,,,,,,
,,,,short theta sequences,0.7500958708467541,0.023914642833784486
,,,,long theta sequences,0.776076091666119,0.023709516323725
